Plan,City,State,Zip_code,County,ISP,Network_ tech,Municipal_network,Download_speed_Mbps,Upload_speed_Mbps,Cost_per_download Mbps,Data_cap_GB,Data_overage_penalty_per_50GB,Price,Term _months,Autopay_/_paperless_discount,Activation_fee,Installation_fee,Self_install_ fee,Router_rental_monthly,Modem_rental_monthly,Ttl_rental_costs,router_purchase_cost,Modem_purchase_cost,Ttl_purch_costs,requirement_months,Termination_fee,Address_used
"Kansas City KS, AT&T, 50",Kansas City, KS,66102,Wyandotte,AT&T Internet,ADSL,No,50,10,0.83,1000,10,60,12,,35,99,0,,,0,,,0,12,180,1242 Grandview Blvd
"Kansas City KS, Google, 100",Kansas City, KS,,Wyandotte,Google Fiber,Fiber,No,100,100,2,,,50,,,,,,,,0,,,0,1,,Not applicable
"Kansas City KS, Google, 1000",Kansas City, KS,,Wyandotte,Google Fiber,Fiber,No,1000,1000,14.29,,,70,,,,,,,,0,,,0,1,,Not applicable
"Kansas City KS, Midco, 100",Kansas City, KS,66109,Wyandotte,Midcontinent Communications,Cable,No,100,10,1.67,,,59.95,12,,,50,,2,8,10,,,0,1,1,2108 N 114th Ter
"Kansas City KS, Midco, 1000",Kansas City, KS,66109,Wyandotte,Midcontinent Communications,Cable,No,1000,20,10.01,,,99.95,12,,,50,,2,8,10,,,0,1,1,2111 N 114th Ter
"Kansas City KS, Midco, 150",Kansas City, KS,66109,Wyandotte,Midcontinent Communications,Cable,No,150,15,2.14,,,69.95,12,,,50,,2,8,10,,,0,1,1,2109 N 114th Ter
"Kansas City KS, Midco, 500",Kansas City, KS,66109,Wyandotte,Midcontinent Communications,Cable,No,500,20,6.25,,,79.95,12,,,50,,2,8,10,,,0,1,1,2110 N 114th Ter
"Kansas City KS, Peoples, 100",Kansas City, KS,,Wyandotte,Peoples Telecommunications,ADSL,No,100,10,0.74,,,135,,,,0,,,,0,,,0,12,185,Not applicable
"Kansas City KS, Peoples, 150",Kansas City, KS,,Wyandotte,Peoples Telecommunications,ADSL,No,150,25,1,,,150,,,,0,,,,0,,,0,12,185,Not applicable
"Kansas City KS, Peoples, 200",Kansas City, KS,,Wyandotte,Peoples Telecommunications,ADSL,No,200,25,1.21,,,165,,,,0,,,,0,,,0,12,185,Not applicable
"Kansas City KS, Spectrum, 200",Kansas City, KS,66104,Wyandotte,Charter,Cable,No,200,10,6.67,,,29.99,,,,49.99,9.99,5,,5,,,0,,1,2428 Stewart Ave
"Kansas City KS, Spectrum, 400",Kansas City, KS,66104,Wyandotte,Charter,Cable,No,400,25,4.4,,,90.99,12,,,49.99,9.99,5,,5,,,0,,1,2428 Stewart Ave
