Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Cayuga County, New York",44772.0,42072.0,38196.0
"Cecil County, Maryland",49608.0,46512.0,41172.0
"Cedar County, Iowa",39156.0,36024.0,35964.0
"Cedar County, Missouri",27716.0,26724.0,31344.0
"Cedar County, Nebraska",35516.0,34032.0,33864.0
"Ceiba Municipio, Puerto Rico",22828.0,20400.0,23940.0
"Centre County, Pennsylvania",44616.0,48552.0,37056.0
"Cerro Gordo County, Iowa",42432.0,39756.0,38004.0
"Chaffee County, Colorado",35048.0,35940.0,34536.0
"Chambers County, Alabama",38064.0,36048.0,35124.0
"Chambers County, Texas",73476.0,62844.0,42036.0
"Champaign County, Illinois",46852.0,45540.0,35760.0
"Champaign County, Ohio",43732.0,39888.0,35280.0
"Chariton County, Missouri",34008.0,29916.0,26736.0
"Charles City County, Virginia",47060.0,43248.0,32616.0
"Charles County, Maryland",41652.0,43584.0,44604.0
"Charles Mix County, South Dakota",35204.0,33180.0,32532.0
"Charleston County, South Carolina",51220.0,48024.0,41904.0
"Charlevoix County, Michigan",44876.0,41436.0,38496.0
"Charlotte County, Florida",39572.0,37236.0,31620.0
"Charlotte County, Virginia",35360.0,32592.0,40140.0
"Charlottesville City, Virginia",57668.0,50772.0,37200.0
"Charlton County, Georgia",40196.0,34956.0,32076.0
"Chase County, Kansas",36712.0,32760.0,35124.0
"Chase County, Nebraska",39468.0,36228.0,33156.0
"Chatham County, Georgia",48464.0,44568.0,35784.0
"Chatham County, North Carolina",39104.0,35988.0,38388.0
"Chattahoochee County, Georgia",49712.0,42048.0,44304.0
"Chattooga County, Georgia",33020.0,31704.0,39876.0
"Chautauqua County, Kansas",29328.0,27108.0,30444.0
"Chautauqua County, New York",40508.0,38064.0,40116.0
"Chaves County, New Mexico",34944.0,34584.0,30036.0
"Cheatham County, Tennessee",48360.0,41424.0,34824.0
"Cheboygan County, Michigan",32292.0,32064.0,38388.0
"Chelan County, Washington",41808.0,39504.0,47748.0
"Chemung County, New York",46280.0,44304.0,38592.0
"Chenango County, New York",55068.0,43584.0,43524.0
"Cherokee County, Alabama",33020.0,32508.0,31800.0
"Cherokee County, Georgia",44096.0,40200.0,32976.0
"Cherokee County, Iowa",42692.0,37836.0,36900.0
"Cherokee County, Kansas",48724.0,37524.0,29808.0
